"SHORTNAME";"global_id";"FULLNAME";"CODE";"ALFA2";"ALFA3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"Краткое наименование страны";"global_id";"Полное официальное наименование страны";"Цифровой код страны";"Буквенный код альфа-2";"Буквенный код альфа-3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"АВСТРИЯ";"273329414";"Австрийская Республика";"040";"AT";"AUT";"";"";"";"";"";
"ЧАД";"273329415";"Республика Чад";"148";"TD";"TCD";"";"";"";"";"";
"КОМОРЫ";"273329416";"Союз Коморы";"174";"KM";"COM";"";"";"";"";"";
"ГАБОН";"273329417";"Габонская Республика";"266";"GA";"GAB";"";"";"";"";"";
"ПАЛЕСТИНА, ГОСУДАРСТВО";"273329418";"Государство Палестина";"275";"PS";"PSE";"";"";"";"";"";
"ГВАДЕЛУПА";"273329419";"";"312";"GP";"GLP";"";"";"";"";"";
"ГОНДУРАС";"273329420";"Республика Гондурас";"340";"HN";"HND";"";"";"";"";"";
"ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)";"273329421";"Исламская Республика Иран";"364";"IR";"IRN";"";"";"";"";"";
"ИРЛАНДИЯ";"273329422";"";"372";"IE";"IRL";"";"";"";"";"";
"ЯПОНИЯ";"273329423";"";"392";"JP";"JPN";"";"";"";"";"";
"КЕНИЯ";"273329424";"Республика Кения";"404";"KE";"KEN";"";"";"";"";"";
"КИРГИЗИЯ";"273329425";"Киргизская Республика";"417";"KG";"KGZ";"";"";"";"";"";
"МАЛЬТА";"273329426";"Республика Мальта";"470";"MT";"MLT";"";"";"";"";"";
"МОЗАМБИК";"273329427";"Республика Мозамбик";"508";"МZ";"MOZ";"";"";"";"";"";
"АРУБА";"273329428";"";"533";"AW";"ABW";"";"";"";"";"";
"НОВАЯ КАЛЕДОНИЯ";"273329429";"";"540";"NC";"NCL";"";"";"";"";"";
"СЛОВАКИЯ";"273329430";"Словацкая Республика";"703";"SK";"SVK";"";"";"";"";"";
"ЭСВАТИНИ";"273329431";"Королевство Эсватини";"748";"SZ";"SWZ";"";"";"";"";"";
"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА";"273329432";"Объединенная Республика Танзания";"834";"TZ";"TZA";"";"";"";"";"";
"УОЛЛИС И ФУТУНА";"273329433";"";"876";"WF";"WLF";"";"";"";"";"";
"СИНГАПУР";"273330121";"Республика Сингапур";"702";"SG";"SGP";"";"";"";"";"";
"ВЬЕТНАМ";"273330122";"Социалистическая Республика Вьетнам";"704";"VN";"VNM";"";"";"";"";"";
"СЛОВЕНИЯ";"273330123";"Республика Словения";"705";"SI";"SVN";"";"";"";"";"";
"СОМАЛИ";"273330124";"Федеративная Республика Сомали";"706";"SO";"SOM";"";"";"";"";"";
"ЮЖНАЯ АФРИКА";"273330125";"Южно-Африканская Республика";"710";"ZA";"ZAF";"";"";"";"";"";
"ЗИМБАБВЕ";"273330126";"Республика Зимбабве";"716";"ZW";"ZWE";"";"";"";"";"";
"ИСПАНИЯ";"273330127";"Королевство Испания";"724";"ES";"ESP";"";"";"";"";"";
"ЮЖНЫЙ СУДАН";"273330128";"Республика Южный Судан";"728";"SS";"SSD";"";"";"";"";"";
"СУДАН";"273330129";"Республика Судан";"729";"SD";"SDN";"";"";"";"";"";
"ЗАПАДНАЯ САХАРА";"273330130";"";"732";"EH";"ESH";"";"";"";"";"";
"СУРИНАМ";"273330131";"Республика Суринам";"740";"SR";"SUR";"";"";"";"";"";
"ШПИЦБЕРГЕН И ЯН МАЙЕН";"273330132";"";"744";"SJ";"SJM";"";"";"";"";"";
"ШВЕЦИЯ";"273330133";"Королевство Швеция";"752";"SE";"SWE";"";"";"";"";"";
"ШВЕЙЦАРИЯ";"273330134";"Швейцарская Конфедерация";"756";"CH";"CHE";"";"";"";"";"";
"СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА";"273330135";"";"760";"SY";"SYR";"";"";"";"";"";
"ТАДЖИКИСТАН";"273330136";"Республика Таджикистан";"762";"TJ";"TJK";"";"";"";"";"";
"ТАИЛАНД";"273330137";"Королевство Таиланд";"764";"TH";"THA";"";"";"";"";"";
"ТОГО";"273330138";"Тоголезская Республика";"768";"TG";"TGO";"";"";"";"";"";
"ТОКЕЛАУ";"273330139";"";"772";"TK";"TKL";"";"";"";"";"";
"ТОНГА";"273330140";"Королевство Тонга";"776";"TO";"TON";"";"";"";"";"";
"ТРИНИДАД И ТОБАГО";"273330141";"Республика Тринидад и Тобаго";"780";"TT";"TTO";"";"";"";"";"";
"ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ";"273330142";"";"784";"AE";"ARE";"";"";"";"";"";
"ТУНИС";"273330143";"Тунисская Республика";"788";"TN";"TUN";"";"";"";"";"";
"ТУРЦИЯ";"273330144";"Турецкая Республика";"792";"TR";"TUR";"";"";"";"";"";
"ТУРКМЕНИСТАН";"273330145";"";"795";"TM";"TKM";"";"";"";"";"";
